02-04 02:54:38.398 30830 30956 D AGORA_SDK: MODCALL ( 2:54:38:398 |    0)  30976; CurrentSendFrequencyHz()
02-04 02:54:38.398 30830 30956 D AGORA_SDK: MODCALL ( 2:54:38:398 |    0)  30976; PacketCountSent()
02-04 02:54:38.398 30830 30956 D AGORA_SDK: MODCALL ( 2:54:38:398 |    0)  30976; ByteCountSent()
02-04 02:54:38.399 30830 30956 D AGORA_SDK: DEBUG   ( 2:54:38:399 |    1)  30957; [ch0] receive agora rtcp packet from vos
02-04 02:54:38.415 30830 30956 D AGORA_SDK: DEBUG   ( 2:54:38:415 |   16)  31091; ExtrapolateLocalTime(2742566331)=1618221673 ms
02-04 02:54:38.415 30830 30956 D AGORA_SDK: DEBUG   ( 2:54:38:415 |    0)  31091; Render frame 3257358240 at 2742566331. Render delay 1618223120
02-04 02:54:38.417 30830 30956 I AGORA_SDK: INFO    ( 2:54:38:417 |    2)  30957; [tactics] onStatVideo rtt Bwe speaker video jitter:37:26:1 lost(400/800/5000):0/0/0 rtt:3 maxbw:1000
02-04 02:54:38.428 30830 30956 D AGORA_SDK: DEBUG   ( 2:54:38:428 |   11)  30957; JB(0xbfbf8220) FB(0xca2c3100): Complete frame added to jitterbuffer, size:1601 type 4
02-04 02:54:38.429 30830 30956 D AGORA_SDK: DEBUG   ( 2:54:38:428 |    0)  30957; g1=2896.314311 g2=0.000000 alarm=0
02-04 02:54:38.429 30830 30956 D AGORA_SDK: DEBUG   ( 2:54:38:428 |    0)  30957; w[0]=89.825714 w[1]=68635.610982 ts=2742693591 tMs=0
02-04 02:54:38.435 30830 30956 D AGORA_SDK: DEBUG   ( 2:54:38:435 |    7)  31091; ExtrapolateLocalTime(2742566331)=1618221671 ms
02-04 02:54:38.436 30830 30956 D AGORA_SDK: DEBUG   ( 2:54:38:435 |    0)  31091; Render frame 3257358240 at 2742566331. Render delay 1618223118
02-04 02:54:38.449 30830 30956 D AGORA_SDK: STREAM  ( 2:54:38:449 |   14)  31012; IncomingFrame width 640, height 480
02-04 02:54:38.450 30830 30956 D AGORA_SDK: STREAM  ( 2:54:38:449 |    0)  30977; SetCSRCs: 
02-04 02:54:38.452 30830 30956 D AGORA_SDK: APICALL ( 2:54:38:452 |   66)  30977; SendCodec
02-04 02:54:38.452 30830 30956 D AGORA_SDK: APICALL ( 2:54:38:452 |    0)  30977; SendCodec type
02-04 02:54:38.453 30830 30956 D AGORA_SDK: STREAM  ( 2:54:38:452 |    3)  30977; RenderFrame for stream 0, render time: 1618222961
02-04 02:54:38.453 30830 30956 D AGORA_SDK: STREAM  ( 2:54:38:453 |    1)  31015; IncomingVideoStreamProcess: Render frame 640 * 480, time: 1951625061
02-04 02:54:38.455 30830 30956 D AGORA_SDK: MODCALL ( 2:54:38:455 |    2)  30976; Sending()
02-04 02:54:38.455 30830 30956 D AGORA_SDK: MODCALL ( 2:54:38:455 |    0)  30976; CurrentSendFrequencyHz()
02-04 02:54:38.455 30830 30956 D AGORA_SDK: MODCALL ( 2:54:38:455 |    0)  30976; PacketCountSent()
02-04 02:54:38.455 30830 30956 D AGORA_SDK: MODCALL ( 2:54:38:455 |    0)  30976; ByteCountSent()
02-04 02:54:38.456 30830 30956 D AGORA_SDK: DEBUG   ( 2:54:38:456 |    1)  31091; ExtrapolateLocalTime(2742566331)=1618221671 ms
02-04 02:54:38.456 30830 30956 D AGORA_SDK: DEBUG   ( 2:54:38:456 |    0)  31091; Render frame 3257358240 at 2742566331. Render delay 1618223118
02-04 02:54:38.462 30830 30956 D AGORA_SDK: DEBUG   ( 2:54:38:462 |    6)  30957; [ch0] receive agora rtcp packet from vos
02-04 02:54:38.476 30830 30956 D AGORA_SDK: DEBUG   ( 2:54:38:476 |   14)  31091; ExtrapolateLocalTime(2742566331)=1618221671 ms
02-04 02:54:38.476 30830 30956 D AGORA_SDK: DEBUG   ( 2:54:38:476 |    0)  31091; Render frame 3257358240 at 2742566331. Render delay 1618223118
02-04 02:54:38.496 30830 30956 D AGORA_SDK: DEBUG   ( 2:54:38:496 |   20)  31091; ExtrapolateLocalTime(2742566331)=1618221671 ms
02-04 02:54:38.496 30830 30956 D AGORA_SDK: DEBUG   ( 2:54:38:496 |    0)  31091; Render frame 3257358240 at 2742566331. Render delay 1618223118
02-04 02:54:38.517 30830 30956 D AGORA_SDK: DEBUG   ( 2:54:38:516 |   20)  31091; ExtrapolateLocalTime(2742566331)=1618221671 ms
02-04 02:54:38.517 30830 30956 D AGORA_SDK: DEBUG   ( 2:54:38:516 |    0)  31091; Render frame 3257358240 at 2742566331. Render delay 1618223118
02-04 02:54:38.520 30830 30956 D AGORA_SDK: STREAM  ( 2:54:38:520 |    4)  31012; IncomingFrame width 640, height 480
02-04 02:54:38.520 30830 30956 D AGORA_SDK: STREAM  ( 2:54:38:520 |    0)  30977; SetCSRCs: 
02-04 02:54:38.526 30830 30956 D AGORA_SDK: APICALL ( 2:54:38:526 |   74)  30977; SendCodec
02-04 02:54:38.527 30830 30956 D AGORA_SDK: APICALL ( 2:54:38:526 |    0)  30977; SendCodec type
02-04 02:54:38.527 30830 30956 D AGORA_SDK: STREAM  ( 2:54:38:527 |    7)  30977; RenderFrame for stream 0, render time: 1618223032
02-04 02:54:38.528 30830 30956 D AGORA_SDK: MODCALL ( 2:54:38:528 |    1)  30976; Sending()
02-04 02:54:38.529 30830 30956 D AGORA_SDK: MODCALL ( 2:54:38:528 |    0)  30976; CurrentSendFrequencyHz()
02-04 02:54:38.529 30830 30956 D AGORA_SDK: MODCALL ( 2:54:38:528 |    0)  30976; PacketCountSent()
02-04 02:54:38.529 30830 30956 D AGORA_SDK: MODCALL ( 2:54:38:528 |    0)  30976; ByteCountSent()
02-04 02:54:38.530 30830 30956 D AGORA_SDK: STREAM  ( 2:54:38:529 |    1)  31015; IncomingVideoStreamProcess: Render frame 640 * 480, time: 1951625061
02-04 02:54:38.536 30830 30956 D AGORA_SDK: DEBUG   ( 2:54:38:536 |    7)  31091; ExtrapolateLocalTime(2742566331)=1618221671 ms
02-04 02:54:38.537 30830 30956 D AGORA_SDK: DEBUG   ( 2:54:38:536 |    0)  31091; Render frame 3257358240 at 2742566331. Render delay 1618223118
02-04 02:54:38.537 30830 30956 D AGORA_SDK: DEBUG   ( 2:54:38:537 |    1)  30957; [ch0] receive agora rtcp packet from vos
02-04 02:54:38.557 30830 30956 D AGORA_SDK: DEBUG   ( 2:54:38:557 |   20)  31091; ExtrapolateLocalTime(2742566331)=1618221671 ms
02-04 02:54:38.557 30830 30956 D AGORA_SDK: DEBUG   ( 2:54:38:557 |    0)  31091; Render frame 3257358240 at 2742566331. Render delay 1618223118
02-04 02:54:38.557 30830 30956 D AGORA_SDK: DEBUG   ( 2:54:38:557 |    0)  31091; Received complete frame timestamp 2742566331 frame type 4 frame size 1803 at time 1618221561, jitter estimate was 1417
02-04 02:54:38.557 30830 30956 D AGORA_SDK: DEBUG   ( 2:54:38:557 |    0)  31091; Packet received and sent to jitter estimate with: timestamp=2742566331 wall_clock=1618221561
02-04 02:54:38.557 30830 30956 D AGORA_SDK: DEBUG   ( 2:54:38:557 |    0)  31091; Jitter estimate updated with: frameSize=1803 frameDelayMS=1083571054
02-04 02:54:38.557 30830 30956 D AGORA_SDK: DEBUG   ( 2:54:38:557 |    0)  31091; Framesize statistics: max=12622.255752 average=2297.540243
02-04 02:54:38.557 30830 30956 D AGORA_SDK: DEBUG   ( 2:54:38:557 |    0)  31091; The estimated slope is: theta=(0.025978, -4.717364)
02-04 02:54:38.558 30830 30956 D AGORA_SDK: DEBUG   ( 2:54:38:557 |    0)  31091; Random jitter: mean=0.163310 variance=251091.962328
02-04 02:54:38.558 30830 30956 D AGORA_SDK: DEBUG   ( 2:54:38:557 |    0)  31091; Current jitter estimate: 1405.753125
02-04 02:54:38.558 30830 30956 D AGORA_SDK: DEBUG   ( 2:54:38:557 |    0)  31091; Current max RTT: 0
02-04 02:54:38.558 30830 30956 D AGORA_SDK: DEBUG   ( 2:54:38:557 |    0)  31091; Decoding timestamp 2742566331
02-04 02:54:38.562 30830 30956 D AGORA_SDK: DEBUG   ( 2:54:38:562 |    5)  31091; Frame decoded: time_stamp=2742566331 dec_time=5 max_dec_time=15, at 1618223074
02-04 02:54:38.562 30830 30956 D AGORA_SDK: STREAM  ( 2:54:38:562 |    0)  31091; FrameToRender(timestamp:2742566331)
02-04 02:54:38.562 30830 30956 D AGORA_SDK: STREAM  ( 2:54:38:562 |    0)  31091; RenderFrame for stream 2055736904, render time: 1618223118
02-04 02:54:38.562 30830 30956 D AGORA_SDK: DEBUG   ( 2:54:38:562 |    0)  31091; Desired jitter buffer level: 1416 ms
